Row Labels,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,,,
"Albuquerque, NM",4661,143462,744050,771602,811421,851409,931324,1063217,1082588,1129303,1242174,,"<tr><td>Albuquerque, NM</td><td>1242174</td><td>1129303</td><td>1082588</td><td>1063217</td><td>931324</td><td>851409</td><td>811421</td><td>771602</td><td>744050</td><td>143462</td></tr>","{label: 'Albuquerque, NM' , data: [1242174,1129303,1082588,1063217,931324,851409,811421,771602,744050,143462],lineTension: 0,
                    backgroundColor: 'transparent',
                    borderColor: '#FF6550',
                    borderWidth: 4,
                    pointBackgroundColor: '#FF6550'},"
"Anchorage, AK",1800,31960,203367,199666,192331,187309,178350,164674,156300,145260,115191,,"<tr><td>Anchorage, AK</td><td>115191</td><td>145260</td><td>156300</td><td>164674</td><td>178350</td><td>187309</td><td>192331</td><td>199666</td><td>203367</td><td>31960</td></tr>",
"Atlanta, GA",4458764,24160976,62076516,65168178,67840334,69049736,72910654,71512588,69905386,70506376,74236211,,"<tr><td>Atlanta, GA</td><td>74236211</td><td>70506376</td><td>69905386</td><td>71512588</td><td>72910654</td><td>69049736</td><td>67840334</td><td>65168178</td><td>62076516</td><td>24160976</td></tr>",
"Austin, TX",37359,278779,671133,807869,825533,810567,837749,777894,815031,601754,469328,,"<tr><td>Austin, TX</td><td>469328</td><td>601754</td><td>815031</td><td>777894</td><td>837749</td><td>810567</td><td>825533</td><td>807869</td><td>671133</td><td>278779</td></tr>",
"Baltimore, MD",1062419,8042910,23013297,24072215,26644551,27970113,29023363,31986161,32787710,33024577,31848557,,"<tr><td>Baltimore, MD</td><td>31848557</td><td>33024577</td><td>32787710</td><td>31986161</td><td>29023363</td><td>27970113</td><td>26644551</td><td>24072215</td><td>23013297</td><td>8042910</td></tr>",
"Boston, MA-NH-RI",13736970,86880308,247369946,250613922,257600261,268015256,266187194,282263005,278348525,277441582,270174531,,"<tr><td>Boston, MA-NH-RI</td><td>270174531</td><td>277441582</td><td>278348525</td><td>282263005</td><td>266187194</td><td>268015256</td><td>257600261</td><td>250613922</td><td>247369946</td><td>86880308</td></tr>",
"Buffalo, NY",345205,2000000,4404283,4492168,4560644,4899621,5218485,4273515,5058439,6460209,6973287,,"<tr><td>Buffalo, NY</td><td>6973287</td><td>6460209</td><td>5058439</td><td>4273515</td><td>5218485</td><td>4899621</td><td>4560644</td><td>4492168</td><td>4404283</td><td>2000000</td></tr>",
"Charlotte, NC-SC",563949,3921893,8987184,7430941,5280519,5316457,5142299,5130489,4977968,4967336,4796202,,"<tr><td>Charlotte, NC-SC</td><td>4796202</td><td>4967336</td><td>4977968</td><td>5130489</td><td>5142299</td><td>5316457</td><td>5280519</td><td>7430941</td><td>8987184</td><td>3921893</td></tr>",
"Chattanooga, TN-GA",52228,159184,495336,490906,492660,481093,441205,399624,385991,372445,355856,,"<tr><td>Chattanooga, TN-GA</td><td>355856</td><td>372445</td><td>385991</td><td>399624</td><td>441205</td><td>481093</td><td>492660</td><td>490906</td><td>495336</td><td>159184</td></tr>",
"Chicago, IL-IN",13823690,93775951,283207407,297741389,304252104,314439498,317924502,316095806,306326140,309069022,297599459,,"<tr><td>Chicago, IL-IN</td><td>297599459</td><td>309069022</td><td>306326140</td><td>316095806</td><td>317924502</td><td>314439498</td><td>304252104</td><td>297741389</td><td>283207407</td><td>93775951</td></tr>",
"Cincinnati, OH-KY-IN",69899,168392,531592,485700,578180,330738,,,,,,,"<tr><td>Cincinnati, OH-KY-IN</td><td></td><td></td><td></td><td></td><td></td><td>330738</td><td>578180</td><td>485700</td><td>531592</td><td>168392</td></tr>",
"Cleveland, OH",665810,3227446,7151569,7911549,8019567,8885919,9047021,8982994,9321306,9096874,8432995,,"<tr><td>Cleveland, OH</td><td>8432995</td><td>9096874</td><td>9321306</td><td>8982994</td><td>9047021</td><td>8885919</td><td>8019567</td><td>7911549</td><td>7151569</td><td>3227446</td></tr>",
"Dallas-Fort Worth-Arlington, TX",3617313,18173901,31411896,31485900,32612836,32280024,32951730,32680210,31572362,30750463,29360884,,"<tr><td>Dallas-Fort Worth-Arlington, TX</td><td>29360884</td><td>30750463</td><td>31572362</td><td>32680210</td><td>32951730</td><td>32280024</td><td>32612836</td><td>31485900</td><td>31411896</td><td>18173901</td></tr>",
"Denton-Lewisville, TX",24044,144246,387467,409667,481973,535630,558139,577440,519302,424617,214966,,"<tr><td>Denton-Lewisville, TX</td><td>214966</td><td>424617</td><td>519302</td><td>577440</td><td>558139</td><td>535630</td><td>481973</td><td>409667</td><td>387467</td><td>144246</td></tr>",
"Denver-Aurora, CO",2806723,15418845,34296677,32941647,31595715,28902487,25518578,26363053,23773843,20639068,20694715,,"<tr><td>Denver-Aurora, CO</td><td>20694715</td><td>20639068</td><td>23773843</td><td>26363053</td><td>25518578</td><td>28902487</td><td>31595715</td><td>32941647</td><td>34296677</td><td>15418845</td></tr>",
"Detroit, MI",,459537,2698599,3147354,3106791,2165351,2409894,2357520,2207333,2298841,,,"<tr><td>Detroit, MI</td><td></td><td>2298841</td><td>2207333</td><td>2357520</td><td>2409894</td><td>2165351</td><td>3106791</td><td>3147354</td><td>2698599</td><td>459537</td></tr>",
"El Paso, TX-NM",,68318,272976,70236,,,,,,,,,"<tr><td>El Paso, TX-NM</td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td>70236</td><td>272976</td><td>68318</td></tr>",
"Hartford, CT",13968,157014,660477,597363,786870,828721,853591,934642,900501,624516,614089,,"<tr><td>Hartford, CT</td><td>614089</td><td>624516</td><td>900501</td><td>934642</td><td>853591</td><td>828721</td><td>786870</td><td>597363</td><td>660477</td><td>157014</td></tr>",
"Houston, TX",1721054,10633194,18409049,18806354,18808109,18228011,16489939,13300551,11279881,11387090,10787896,,"<tr><td>Houston, TX</td><td>10787896</td><td>11387090</td><td>11279881</td><td>13300551</td><td>16489939</td><td>18228011</td><td>18808109</td><td>18806354</td><td>18409049</td><td>10633194</td></tr>",
"Jacksonville, FL",65811,273143,770189,843225,967826,1194221,1279008,1221092,1112360,945811,,,"<tr><td>Jacksonville, FL</td><td></td><td>945811</td><td>1112360</td><td>1221092</td><td>1279008</td><td>1194221</td><td>967826</td><td>843225</td><td>770189</td><td>273143</td></tr>",
"Johnstown, PA",,22311,64541,53024,63613,58431,54881,62737,74055,95584,88460,,"<tr><td>Johnstown, PA</td><td>88460</td><td>95584</td><td>74055</td><td>62737</td><td>54881</td><td>58431</td><td>63613</td><td>53024</td><td>64541</td><td>22311</td></tr>",
"Kansas City, MO-KS",140766,786059,2228942,2108348,2057323,1399344,,,,,,,"<tr><td>Kansas City, MO-KS</td><td></td><td></td><td></td><td></td><td></td><td>1399344</td><td>2057323</td><td>2108348</td><td>2228942</td><td>786059</td></tr>",
"Kenosha, WI-IL",460,3845,36658,39569,45120,51145,45947,44465,38825,40128,43164,,"<tr><td>Kenosha, WI-IL</td><td>43164</td><td>40128</td><td>38825</td><td>44465</td><td>45947</td><td>51145</td><td>45120</td><td>39569</td><td>36658</td><td>3845</td></tr>",
"Las Vegas-Henderson, NV",,,,,4816085,4940323,5082158,4548311,4024890,4128134,,,"<tr><td>Las Vegas-Henderson, NV</td><td></td><td>4128134</td><td>4024890</td><td>4548311</td><td>5082158</td><td>4940323</td><td>4816085</td><td></td><td></td><td></td></tr>",
"Little Rock, AR",,17196,126882,42912,95118,64570,95220,99500,92543,104818,100402,,"<tr><td>Little Rock, AR</td><td>100402</td><td>104818</td><td>92543</td><td>99500</td><td>95220</td><td>64570</td><td>95118</td><td>42912</td><td>126882</td><td>17196</td></tr>",
"Los Angeles-Long Beach-Anaheim, CA",9947597,56095968,105812191,121589714,127013353,125290740,120958877,126460092,128051364,123092957,109507007,,"<tr><td>Los Angeles-Long Beach-Anaheim, CA</td><td>109507007</td><td>123092957</td><td>128051364</td><td>126460092</td><td>120958877</td><td>125290740</td><td>127013353</td><td>121589714</td><td>105812191</td><td>56095968</td></tr>",
"Memphis, TN-MS-AR",31662,101044,366666,302076,,,,485131,1366026,1492954,1157427,,"<tr><td>Memphis, TN-MS-AR</td><td>1157427</td><td>1492954</td><td>1366026</td><td>485131</td><td></td><td></td><td></td><td>302076</td><td>366666</td><td>101044</td></tr>",
"Miami, FL",3804479,15754018,31619661,32562357,33146008,35525702,36168130,36060891,35302685,32569637,22243309,,"<tr><td>Miami, FL</td><td>22243309</td><td>32569637</td><td>35302685</td><td>36060891</td><td>36168130</td><td>35525702</td><td>33146008</td><td>32562357</td><td>31619661</td><td>15754018</td></tr>",
"Milwaukee, WI",39248,261303,760321,156683,,,,,,,,,"<tr><td>Milwaukee, WI</td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td>156683</td><td>760321</td><td>261303</td></tr>",
"Minneapolis-St. Paul, MN-WI",2275010,10407975,26067210,25742944,24604793,23674796,23726094,16721206,10950158,11198514,11104281,,"<tr><td>Minneapolis-St. Paul, MN-WI</td><td>11104281</td><td>11198514</td><td>10950158</td><td>16721206</td><td>23726094</td><td>23674796</td><td>24604793</td><td>25742944</td><td>26067210</td><td>10407975</td></tr>",
"Morgantown, WV",,405835,1744629,1585701,2031521,2083575,2335375,2299875,2408935,1363463,,,"<tr><td>Morgantown, WV</td><td></td><td>1363463</td><td>2408935</td><td>2299875</td><td>2335375</td><td>2083575</td><td>2031521</td><td>1585701</td><td>1744629</td><td>405835</td></tr>",
"Nashville-Davidson, TN",7472,77245,293314,298765,299112,283174,273878,258023,243496,264874,281173,,"<tr><td>Nashville-Davidson, TN</td><td>281173</td><td>264874</td><td>243496</td><td>258023</td><td>273878</td><td>283174</td><td>299112</td><td>298765</td><td>293314</td><td>77245</td></tr>",
"New Orleans, LA",522254,2014256,5289326,7747491,8097699,8074975,7281648,7457260,8650376,7228998,6602396,,"<tr><td>New Orleans, LA</td><td>6602396</td><td>7228998</td><td>8650376</td><td>7457260</td><td>7281648</td><td>8074975</td><td>8097699</td><td>7747491</td><td>5289326</td><td>2014256</td></tr>",
"New York-Newark, NY-NJ-CT",254680655,1257302472,3141606016,3037490483,3102333329,3081287401,3058851663,3146508930,3037540313,2938021192,2883841588,,"<tr><td>New York-Newark, NY-NJ-CT</td><td>2883841588</td><td>2938021192</td><td>3037540313</td><td>3146508930</td><td>3058851663</td><td>3081287401</td><td>3102333329</td><td>3037490483</td><td>3141606016</td><td>1257302472</td></tr>",
"Oklahoma City, OK",120744,531726,365678,,,,,,,,,,"<tr><td>Oklahoma City, OK</td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td>365678</td><td>531726</td></tr>",
"Orlando, FL",159541,749544,1571656,1114859,851881,887224,972546,616411,,,,,"<tr><td>Orlando, FL</td><td></td><td></td><td></td><td>616411</td><td>972546</td><td>887224</td><td>851881</td><td>1114859</td><td>1571656</td><td>749544</td></tr>",
"Philadelphia, PA-NJ-DE-MD",10450957,64457817,163561943,163833230,164146848,169157443,176782987,174389854,176846589,176161323,177133051,,"<tr><td>Philadelphia, PA-NJ-DE-MD</td><td>177133051</td><td>176161323</td><td>176846589</td><td>174389854</td><td>176782987</td><td>169157443</td><td>164146848</td><td>163833230</td><td>163561943</td><td>64457817</td></tr>",
"Phoenix-Mesa, AZ",1570124,8557187,15060207,15406410,16268923,16303599,14759817,14263662,14226293,14042008,13161638,,"<tr><td>Phoenix-Mesa, AZ</td><td>13161638</td><td>14042008</td><td>14226293</td><td>14263662</td><td>14759817</td><td>16303599</td><td>16268923</td><td>15406410</td><td>15060207</td><td>8557187</td></tr>",
"Pittsburgh, PA",362472,2608017,7795965,7920730,8368822,8354163,8707451,8775034,8857679,8992620,7882986,,"<tr><td>Pittsburgh, PA</td><td>7882986</td><td>8992620</td><td>8857679</td><td>8775034</td><td>8707451</td><td>8354163</td><td>8368822</td><td>7920730</td><td>7795965</td><td>2608017</td></tr>",
"Portland, ME",18917,146402,574692,533949,546056,493452,426828,496643,555947,555196,518483,,"<tr><td>Portland, ME</td><td>518483</td><td>555196</td><td>555947</td><td>496643</td><td>426828</td><td>493452</td><td>546056</td><td>533949</td><td>574692</td><td>146402</td></tr>",
"Portland, OR-WA",3787525,21333552,42847276,44138193,44309754,45605293,43138924,43251812,43160415,45044570,46283738,,"<tr><td>Portland, OR-WA</td><td>46283738</td><td>45044570</td><td>43160415</td><td>43251812</td><td>43138924</td><td>45605293</td><td>44309754</td><td>44138193</td><td>42847276</td><td>21333552</td></tr>",
"Sacramento, CA",882347,5329875,10710049,9801510,11150668,11805176,11953072,12701588,13364617,13586505,12816310,,"<tr><td>Sacramento, CA</td><td>12816310</td><td>13586505</td><td>13364617</td><td>12701588</td><td>11953072</td><td>11805176</td><td>11150668</td><td>9801510</td><td>10710049</td><td>5329875</td></tr>",
"Salt Lake City-West Valley City, UT",2059785,10271888,22321887,22981884,23677677,23765873,24349673,24337460,22798371,19421608,16938895,,"<tr><td>Salt Lake City-West Valley City, UT</td><td>16938895</td><td>19421608</td><td>22798371</td><td>24337460</td><td>24349673</td><td>23765873</td><td>23677677</td><td>22981884</td><td>22321887</td><td>10271888</td></tr>",
"San Diego, CA",4738817,23481904,41885780,40977876,41229640,42273875,45064757,44035646,38102558,35279118,36694624,,"<tr><td>San Diego, CA</td><td>36694624</td><td>35279118</td><td>38102558</td><td>44035646</td><td>45064757</td><td>42273875</td><td>41229640</td><td>40977876</td><td>41885780</td><td>23481904</td></tr>",
"San Francisco-Oakland, CA",5122431,54980192,207373377,210599845,211265141,217498595,217874636,219172443,198858331,195606009,185128530,,"<tr><td>San Francisco-Oakland, CA</td><td>185128530</td><td>195606009</td><td>198858331</td><td>219172443</td><td>217874636</td><td>217498595</td><td>211265141</td><td>210599845</td><td>207373377</td><td>54980192</td></tr>",
"San Jose, CA",573594,3175194,8350771,8535960,8659796,9926937,11028467,11366605,10864913,10483460,10219464,,"<tr><td>San Jose, CA</td><td>10219464</td><td>10483460</td><td>10864913</td><td>11366605</td><td>11028467</td><td>9926937</td><td>8659796</td><td>8535960</td><td>8350771</td><td>3175194</td></tr>",
"San Juan, PR",290658,1137544,5234509,5193328,4835070,7897414,8505389,10088183,10993112,11023723,10769989,,"<tr><td>San Juan, PR</td><td>10769989</td><td>11023723</td><td>10993112</td><td>10088183</td><td>8505389</td><td>7897414</td><td>4835070</td><td>5193328</td><td>5234509</td><td>1137544</td></tr>",
"Santa Rosa, CA",24073,247989,717913,717021,289506,,,,,,,,"<tr><td>Santa Rosa, CA</td><td></td><td></td><td></td><td></td><td></td><td></td><td>289506</td><td>717021</td><td>717913</td><td>247989</td></tr>",
"Seattle, WA",1738940,10674886,34113689,33706879,31967815,27863422,19270832,18143144,16513980,15393499,12048088,,"<tr><td>Seattle, WA</td><td>12048088</td><td>15393499</td><td>16513980</td><td>18143144</td><td>19270832</td><td>27863422</td><td>31967815</td><td>33706879</td><td>34113689</td><td>10674886</td></tr>",
"St. Louis, MO-IL",1220884,6746245,13087672,13220212,14115287,15343956,16081738,17181985,17395931,17128317,16505238,,"<tr><td>St. Louis, MO-IL</td><td>16505238</td><td>17128317</td><td>17395931</td><td>17181985</td><td>16081738</td><td>15343956</td><td>14115287</td><td>13220212</td><td>13087672</td><td>6746245</td></tr>",
"Stockton, CA",35449,399181,1491754,1479150,1322180,1294688,1255203,1153875,1021771,850992,756719,,"<tr><td>Stockton, CA</td><td>756719</td><td>850992</td><td>1021771</td><td>1153875</td><td>1255203</td><td>1294688</td><td>1322180</td><td>1479150</td><td>1491754</td><td>399181</td></tr>",
"Tampa-St. Petersburg, FL",200075,439687,936735,521964,308590,294857,286097,275621,296730,301516,383785,,"<tr><td>Tampa-St. Petersburg, FL</td><td>383785</td><td>301516</td><td>296730</td><td>275621</td><td>286097</td><td>294857</td><td>308590</td><td>521964</td><td>936735</td><td>439687</td></tr>",
"Tucson, AZ",126084,394850,873142,907520,892406,911998,993286,583623,,,,,"<tr><td>Tucson, AZ</td><td></td><td></td><td></td><td>583623</td><td>993286</td><td>911998</td><td>892406</td><td>907520</td><td>873142</td><td>394850</td></tr>",
"Virginia Beach, VA",126615,650306,1345122,1462647,1402316,1391329,1454979,1604911,1654104,1651310,639031,,"<tr><td>Virginia Beach, VA</td><td>639031</td><td>1651310</td><td>1654104</td><td>1604911</td><td>1454979</td><td>1391329</td><td>1402316</td><td>1462647</td><td>1345122</td><td>650306</td></tr>",
"Washington, DC-VA-MD",8217898,70055560,243828622,233735374,235719880,237787542,264378619,275028129,277926712,283751812,292335219,,"<tr><td>Washington, DC-VA-MD</td><td>292335219</td><td>283751812</td><td>277926712</td><td>275028129</td><td>264378619</td><td>237787542</td><td>235719880</td><td>233735374</td><td>243828622</td><td>70055560</td></tr>",
Total,356349200,1897738532,4867827806,4794996459,4891389555,4906963173,4910062197,5018557525,4862712685,4748759983,4633101336,,<tr><td>Total</td><td>4633101336</td><td>4748759983</td><td>4862712685</td><td>5018557525</td><td>4910062197</td><td>4906963173</td><td>4891389555</td><td>4794996459</td><td>4867827806</td><td>1897738532</td></tr>,
,,,,,,,,,,,,,<tr><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td></tr>,
,,,,,,,,,,,,,<tr><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td></tr>,
,,,,,,,,,,,,,<tr><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td></tr>,
,,,,,,,,,,,,,<tr><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td></tr>,
,,,,,,,,,,,,,<tr><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td></tr>,
,,,,,,,,,,,,,<tr><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td></tr>,
,,,,,,,,,,,,,<tr><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td></tr>,
,,,,,,,,,,,,,<tr><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td></tr>,
,,,,,,,,,,,,,<tr><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td></tr>,
,,,,,,,,,,,,,<tr><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td></tr>,
,,,,,,,,,,,,,<tr><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td></tr>,
,,,,,,,,,,,,,<tr><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td></tr>,
,,,,,,,,,,,,,<tr><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td></tr>,
,,,,,,,,,,,,,<tr><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td></tr>,
,,,,,,,,,,,,,<tr><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td></tr>,
,,,,,,,,,,,,,<tr><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td></tr>,
,,,,,,,,,,,,,<tr><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td></tr>,
,,,,,,,,,,,,,<tr><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td></tr>,
,,,,,,,,,,,,,<tr><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td></tr>,
,,,,,,,,,,,,,<tr><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td></tr>,
,,,,,,,,,,,,,<tr><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td></tr>,
,,,,,,,,,,,,,<tr><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td></tr>,
,,,,,,,,,,,,,<tr><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td></tr>,
,,,,,,,,,,,,,<tr><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td></tr>,
,,,,,,,,,,,,,<tr><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td></tr>,
,,,,,,,,,,,,,<tr><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td></tr>,
,,,,,,,,,,,,,<tr><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td></tr>,
,,,,,,,,,,,,,<tr><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td></tr>,
,,,,,,,,,,,,,<tr><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td></tr>,
,,,,,,,,,,,,,<tr><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td></tr>,
,,,,,,,,,,,,,<tr><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td></tr>,
,,,,,,,,,,,,,<tr><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td></tr>,
,,,,,,,,,,,,,<tr><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td></tr>,
,,,,,,,,,,,,,<tr><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td></tr>,
,,,,,,,,,,,,,<tr><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td></tr>,
,,,,,,,,,,,,,<tr><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td></tr>,
,,,,,,,,,,,,,<tr><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td></tr>,
,,,,,,,,,,,,,<tr><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td></tr>,
,,,,,,,,,,,,,<tr><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td></tr>,
,,,,,,,,,,,,,<tr><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td></tr>,
,,,,,,,,,,,,,<tr><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td></tr>,
,,,,,,,,,,,,,<tr><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td></tr>,
,,,,,,,,,,,,,<tr><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td></tr>,
,,,,,,,,,,,,,<tr><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td></tr>,
,,,,,,,,,,,,,<tr><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td></tr>,
,,,,,,,,,,,,,<tr><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td></tr>,
,,,,,,,,,,,,,<tr><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td></tr>,
,,,,,,,,,,,,,<tr><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td></tr>,
,,,,,,,,,,,,,<tr><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td></tr>,
,,,,,,,,,,,,,<tr><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td></tr>,
,,,,,,,,,,,,,<tr><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td></tr>,
,,,,,,,,,,,,,<tr><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td></tr>,
,,,,,,,,,,,,,<tr><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td></tr>,
,,,,,,,,,,,,,<tr><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td></tr>,
,,,,,,,,,,,,,<tr><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td><td></td></tr>,
